observation_name	taxonomic_affiliation	I_06	I_15	I_20	I_27	I_34	I_42	I_48	II_06	II_13	II_22	II_27	II_34	II_41	II_48	III_06	III_13	III_20	III_27	III_34	IV_06	IV_13	IV_20	IV_27	IV_34	IV_41	IV_48	IV_55	sum
Cluster_26	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propioniciclava;Multi-affiliation	159	497	819	343	295	393	148	289	425	514	276	478	238	397	327	166	558	319	558	284	429	328	346	99	170	91	96	9042
Cluster_27	Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Pelotomaculaceae;Pelotomaculum;unknown species	44	107	227	112	221	770	315	311	292	198	238	458	324	403	329	173	391	191	292	127	421	345	224	164	180	336	203	7396
Cluster_28	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;unknown genus;unknown species	81	309	859	477	365	773	301	149	86	43	30	78	31	51	47	33	48	25	120	89	144	137	97	96	97	245	209	5020
Cluster_29	Bacteria;Firmicutes;unknown class;DTU014;unknown family;unknown genus;unknown species	904	1385	1470	516	475	1179	599	715	538	775	1119	2992	2516	1465	939	1487	2445	1247	7364	683	961	552	7	1	4	4	1	32343
Cluster_30	Bacteria;Firmicutes;Limnochordia;MBA03;unknown family;unknown genus;unknown species	123	636	1511	664	667	1371	563	476	247	223	182	405	235	311	260	188	325	159	638	321	429	268	72	67	63	1	112	10517
Cluster_31	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Amylolactobacillus;unknown species	0	1	0	1	0	0	1	5	11	23	32	84	45	103	71	12	29	27	89	14	29	283	19	8	7	10	9	913
Cluster_32	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Multi-affiliation	0	0	0	0	0	0	0	0	3	28	22	24	12	32	12	15	52	38	241	70	45	81	90	38	93	95	84	1075
Cluster_33	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Latilactobacillus;Lactobacillus fuchuensis	0	0	0	0	1	3	1	5	1	2	0	2	0	3	1	1	4	2	3	12	16	11	109	55	91	106	158	587
Cluster_34	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes vadinHA17;unknown genus;unknown species	43	180	505	274	428	654	226	279	302	210	155	335	249	462	583	348	826	719	1245	194	273	323	267	138	252	230	158	9858
Cluster_35	Bacteria;Verrucomicrobiota;Verrucomicrobiae;LD1-PB3;unknown family;unknown genus;unknown species	93	320	828	428	392	627	228	217	174	124	49	148	79	166	123	28	105	68	366	62	162	242	182	72	130	115	76	5604
Cluster_36	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Sphaerochaeta;unknown species	6	176	193	72	62	146	65	112	54	80	91	288	190	236	309	178	381	148	706	332	624	374	160	181	267	624	521	6576
Cluster_37	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Terrisporobacter;unknown species	65	162	450	373	485	666	286	191	116	92	50	91	65	119	103	37	144	104	195	143	257	236	300	112	198	214	238	5492
Cluster_38	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp.	7	28	67	82	43	83	17	31	29	20	5	2	1	2	7	1	1	2	3	10	25	147	13	11	29	22	18	706
Cluster_39	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionimicrobium;unknown species	0	2	0	1	0	1	0	4	20	196	189	417	265	611	616	167	538	310	810	277	494	253	278	63	108	40	41	5701
Cluster_40	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Paucilactobacillus;Multi-affiliation	0	1	3	2	0	1	2	3	12	38	33	95	58	94	81	11	59	37	55	15	36	153	26	4	15	15	17	866
Cluster_41	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;unknown genus;unknown species	962	1406	3451	1206	864	3402	1397	984	783	1248	632	3097	1565	1841	4645	1091	1763	661	3136	3622	2665	2190	627	511	209	393	464	44815
Cluster_42	Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae;Caldicoprobacter;Multi-affiliation	145	120	848	445	265	1198	247	320	252	306	226	561	539	519	618	186	566	384	431	150	183	117	96	45	100	176	364	9407
Cluster_43	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;unknown genus;unknown species	33	193	445	173	38	114	55	32	13	11	5	14	5	4	2	4	4	1	13	47	48	22	34	17	14	71	50	1462
Cluster_44	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;unknown genus;unknown species	0	79	206	69	35	246	63	114	291	203	31	49	31	20	23	5	44	34	142	163	419	65	32	49	23	97	208	2741
Cluster_45	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;HN-HF0106;unknown species	145	205	308	127	203	355	170	227	190	90	74	194	103	165	203	80	162	97	274	177	188	175	108	72	78	184	169	4523
Cluster_46	Bacteria;Firmicutes;Limnochordia;MBA03;unknown family;unknown genus;Multi-affiliation	168	863	2176	766	687	1278	515	282	191	92	57	142	82	15	16	7	19	7	32	256	278	100	10	2	5	10	4	8060
Cluster_47	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus aquimarinus	43	138	834	474	465	589	297	559	234	61	18	4	1	0	1	1	2	0	0	3	4	29	0	1	4	1	0	3763
Cluster_48	Bacteria;Firmicutes;unknown class;DTU014;unknown family;unknown genus;Multi-affiliation	402	757	1376	472	380	465	132	100	36	37	47	70	62	41	32	11	32	14	51	297	422	279	42	10	6	5	2	5580
Cluster_49	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;unknown species	0	5	10	6	9	12	6	7	12	22	18	57	28	8	20	16	4	4	25	4	26	106	28	16	35	50	103	637
Cluster_51	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Ruminiclostridium;unknown species	21	103	761	509	328	411	344	139	38	101	103	45	16	86	90	6	25	14	50	138	224	60	26	19	28	239	181	4105
Cluster_53	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Sphaerochaeta;unknown species	16	77	221	53	63	170	123	69	72	36	26	50	25	9	21	11	20	3	28	82	89	69	40	32	32	40	32	1509
Cluster_54	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Trichococcus;Multi-affiliation	53	220	580	310	343	641	265	442	341	133	69	114	40	38	23	6	14	9	17	33	32	48	5	1	7	9	6	3799
Cluster_55	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Fermentimonas;unknown species	0	13	141	117	191	327	146	237	174	117	89	174	108	180	129	80	216	128	371	11	36	52	50	31	29	107	129	3383
Cluster_56	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;unknown genus;anaerobic digester metagenome	27	33	117	33	35	98	51	41	35	39	26	52	53	34	48	21	49	21	72	20	53	42	43	36	49	78	66	1272
Cluster_57	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanosarcina;Multi-affiliation	2	2	8	11	7	14	6	6	6	7	1	0	3	1	2	0	1	3	10	63	263	605	651	345	164	527	247	2955
Cluster_60	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Acetivibrio;Multi-affiliation	0	45	126	61	18	598	2	255	214	301	79	119	56	61	566	73	137	145	14	52	75	81	70	79	121	119	59	3526
Cluster_61	Bacteria;Firmicutes;Bacilli;Desulfuribacillales;Desulfuribacillaceae;Desulfuribacillus;unknown species	169	614	815	218	126	44	13	7	6	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	3	11	2	2033
Cluster_62	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Anaerovorax;unknown species	9	68	114	73	73	159	75	41	26	34	27	50	31	38	39	24	58	28	43	33	35	32	22	21	29	84	53	1319
Cluster_63	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group;unknown species	6	20	40	3	1	12	4	14	14	6	8	20	23	28	59	47	196	103	474	39	86	70	147	112	179	597	636	2944
Cluster_64	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group;unknown species	1	3	12	2	1	6	6	13	22	9	9	14	24	47	52	38	181	78	495	24	52	39	103	96	161	602	614	2704
