observation_name	taxonomic_affiliation	I_06	I_15	I_20	I_27	I_34	I_42	I_48	II_06	II_13	II_22	II_27	II_34	II_41	II_48	III_06	III_13	III_20	III_27	III_34	IV_06	IV_13	IV_20	IV_27	IV_34	IV_41	IV_48	IV_55	sum
Cluster_123	Archaea;Crenarchaeota;Bathyarchaeia;unknown order;unknown family;unknown genus;Multi-affiliation	27	54	91	25	14	25	5	7	3	1	1	6	18	28	13	18	37	30	106	32	34	33	21	12	6	18	8	673
Cluster_125	Bacteria;Caldatribacteriota;JS1;unknown order;unknown family;unknown genus;unknown species	87	124	282	77	54	42	21	7	4	0	0	0	0	0	2	0	0	1	2	12	16	28	44	8	11	5	10	837
Cluster_126	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Alcaligenes;Multi-affiliation	0	0	0	2	0	3	0	2	1	0	2	0	4	4	23	6	73	49	335	16	45	32	14	4	2	12	47	676
Cluster_127	Bacteria;Firmicutes;Limnochordia;MBA03;unknown family;unknown genus;unknown species	92	183	529	162	159	444	160	50	53	31	26	83	36	47	55	25	42	25	89	86	65	40	7	1	13	23	27	2553
Cluster_128	Bacteria;Firmicutes;Bacilli;Lactobacillales;Vagococcaceae;Vagococcus;Vagococcus acidifermentans	5	10	7	3	1	1	0	31	155	144	67	92	52	48	37	2	21	14	8	47	86	55	62	19	12	19	21	1019
Cluster_129	Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;unknown genus;unknown species	6	9	22	8	12	19	7	28	71	109	44	56	18	72	131	72	182	120	394	19	24	20	10	3	4	2	1	1463
Cluster_130	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;unknown species	2	8	33	28	24	112	70	107	75	86	48	159	72	100	121	46	84	56	93	30	27	27	8	1	12	18	31	1478
Cluster_131	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;W5053;unknown species	10	29	36	8	7	5	1	0	3	0	0	2	0	0	1	0	0	0	0	39	72	70	123	48	77	73	96	700
Cluster_132	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Herbinix;unknown species	13	65	313	59	10	205	49	93	53	15	14	38	14	31	97	14	16	11	14	50	71	33	10	5	7	131	33	1464
Cluster_133	Archaea;Halobacterota;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation	5	15	27	51	48	59	19	8	11	9	1	6	0	1	3	1	6	3	5	5	9	8	6	1	6	4	8	325
Cluster_134	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;unknown family;unknown genus;unknown species	26	130	330	147	100	241	114	30	25	20	5	10	7	2	6	4	11	4	13	19	7	31	16	8	27	10	9	1352
Cluster_136	Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;unknown genus;unknown species	0	34	117	55	55	84	47	30	13	14	8	7	11	8	12	8	11	1	11	7	5	20	6	4	4	9	7	588
Cluster_138	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Sedimentibacteraceae;Sedimentibacter;unknown species	7	45	102	42	37	80	23	6	2	0	0	0	0	2	1	0	0	0	0	6	3	5	0	0	0	2	0	363
Cluster_139	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Fermentimonas;unknown species	0	0	0	0	0	0	0	7	9	9	5	13	5	21	15	3	21	17	6	11	58	39	89	9	10	32	44	423
Cluster_140	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;DMER64;unknown species	7	24	70	25	28	39	25	19	4	4	2	8	5	12	10	3	9	6	14	9	11	13	4	1	2	5	5	364
Cluster_141	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 8;Multi-affiliation	2	133	513	11	0	77	0	4	2	9	6	1	0	0	0	0	0	0	39	111	232	12	6	0	4	3	0	1165
Cluster_142	Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter;unknown species	0	1	0	0	0	3	2	3	29	13	5	21	25	54	67	13	15	28	58	19	40	17	0	0	0	0	0	413
Cluster_143	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Jeotgalibaca;unknown species	14	106	294	150	132	136	43	29	23	6	0	1	1	3	0	0	2	0	0	0	0	3	0	0	0	1	1	945
Cluster_144	Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;Methanocorpusculum;Multi-affiliation	8	18	62	35	19	112	33	37	25	21	24	35	26	20	26	19	31	15	77	28	21	21	11	5	3	3	6	741
Cluster_145	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Proteiniclasticum;unknown species	4	43	143	116	85	151	63	36	36	10	8	4	6	3	3	0	1	1	3	6	9	8	3	0	4	3	5	754
Cluster_146	Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae;Caldicoprobacter;unknown species	20	123	386	97	67	90	63	53	46	35	18	77	62	15	14	13	28	12	34	34	32	19	8	4	4	11	13	1378
Cluster_148	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;FTLpost3;unknown genus;unknown species	8	49	364	101	53	262	34	30	2	0	0	0	0	0	2	1	13	26	0	0	0	1	0	0	0	0	0	946
Cluster_149	Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae;Caldicoprobacter;Multi-affiliation	14	5	42	29	17	55	16	20	11	14	11	29	23	22	36	13	22	18	20	8	12	6	2	5	7	11	18	486
Cluster_151	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Petrimonas;Petrimonas mucosa	10	29	87	64	86	148	55	37	31	10	3	18	9	8	4	3	13	3	24	5	7	9	6	1	0	4	1	675
Cluster_150	Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;unknown genus;unknown species	8	32	79	36	25	39	28	20	6	6	3	10	12	10	17	4	13	2	21	4	4	11	1	1	1	5	4	402
Cluster_152	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;unknown family;Guggenheimella;Guggenheimella bovis	6	27	50	20	33	36	16	11	9	4	1	4	1	8	4	2	6	9	7	11	21	15	50	14	31	28	30	454
Cluster_153	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Sphaerochaeta;unknown species	5	18	41	8	4	8	5	9	16	14	11	27	13	27	18	19	22	8	21	13	23	20	8	7	4	12	7	388
Cluster_154	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionimicrobium;unknown species	0	0	0	0	0	0	0	0	5	72	33	114	87	121	78	33	166	145	222	94	130	101	88	26	47	17	12	1591
Cluster_155	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Terrisporobacter;unknown species	4	23	54	45	65	64	26	26	23	12	5	9	6	11	8	2	17	15	20	18	33	23	53	15	42	32	42	693
Cluster_156	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;GZKB124;unknown genus;unknown species	4	4	42	18	4	3	4	1	6	5	6	39	15	29	5	6	19	11	6	5	20	21	19	9	3	11	8	323
Cluster_157	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group;unknown species	0	2	38	60	60	170	49	2	0	0	0	4	1	1	1	2	4	0	9	7	3	4	14	10	4	16	15	476
Cluster_158	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum;unknown species	3	13	56	23	16	33	18	9	3	2	1	2	1	2	1	0	3	0	10	2	6	11	1	0	2	2	0	220
Cluster_159	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Vulcanibacillus;unknown species	5	26	54	27	31	54	29	14	5	4	2	2	0	0	0	0	1	0	1	4	5	12	4	7	7	14	9	317
Cluster_160	Archaea;Euryarchaeota;Thermococci;Methanofastidiosales;Methanofastidiosaceae;Candidatus Methanofastidiosum;unknown species	26	43	96	13	14	79	29	20	22	22	3	0	0	15	48	14	56	41	151	57	57	52	6	10	12	18	2	906
Cluster_161	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Fastidiosipila;Clostridiales bacterium feline oral taxon 339	9	18	43	22	13	32	17	26	21	7	8	20	15	21	16	3	11	19	28	33	69	45	75	32	41	46	47	737
Cluster_162	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;unknown species	1	38	70	66	49	95	47	15	5	10	2	22	8	13	5	5	13	6	27	5	15	11	6	5	3	10	11	563
Cluster_163	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Macellibacteroides;Multi-affiliation	5	57	147	62	62	121	62	25	7	3	1	0	2	7	4	2	6	3	13	6	5	25	0	0	1	3	1	630
Cluster_166	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 8;unknown species	2	69	336	9	2	45	3	0	2	9	3	0	0	0	0	0	0	0	14	70	137	13	2	0	1	0	1	718
Cluster_167	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum;unknown species	0	37	52	68	19	54	18	6	9	0	0	2	1	0	1	1	0	0	2	1	1	4	0	0	0	2	1	279
Cluster_168	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;metagenome	1	14	24	8	4	4	3	3	1	2	1	3	4	3	4	4	17	14	49	13	28	26	56	29	89	136	144	684
Cluster_169	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Ruminiclostridium;unknown species	0	0	1	0	0	0	0	1	3	50	52	44	11	24	118	29	30	14	53	5	9	15	13	6	6	94	125	703
Cluster_170	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;unknown genus;unknown species	58	8	15	3	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	17	2	0	0	0	114
Cluster_171	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;unknown genus;unknown species	19	333	164	100	67	459	50	79	132	135	53	111	51	82	267	30	50	39	12	94	100	182	147	80	68	212	128	3244
Cluster_172	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;unknown genus;unknown species	0	0	6	1	2	3	2	1	4	5	4	10	5	13	26	6	35	22	26	20	9	4	8	5	5	11	6	239
Cluster_173	Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae;Caldicoprobacter;Multi-affiliation	3	25	111	52	41	190	46	36	42	35	15	58	33	42	63	41	60	41	92	33	36	24	15	7	12	31	27	1211
Cluster_174	Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;unknown species	0	11	36	33	38	97	63	2	0	0	0	0	0	0	0	0	0	0	0	4	1	3	0	0	1	0	0	289
Cluster_175	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;unknown genus;unknown species	5	34	64	88	73	134	44	33	15	12	1	2	1	3	4	0	4	3	9	8	6	3	7	3	5	0	12	573
Cluster_176	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;unknown genus;unknown species	0	8	34	16	15	18	10	1	0	1	0	0	0	0	0	0	0	0	0	2	6	7	4	1	8	12	6	149
Cluster_177	Bacteria;Planctomycetota;Phycisphaerae;MSBL9;KCLunmb-38-53;unknown genus;unknown species	3	6	1	0	18	30	17	15	6	8	1	8	7	9	12	6	45	28	87	20	36	36	27	15	26	32	37	536
Cluster_179	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;unknown species	4	9	7	1	5	9	3	24	31	29	38	101	80	180	103	61	159	167	260	51	39	35	20	14	19	19	24	1492
Cluster_180	Bacteria;Firmicutes;Thermovenabulia;Thermovenabulales;unknown family;Tepidanaerobacter;unknown species	6	2	5	3	2	9	6	5	7	6	6	16	7	10	11	16	35	60	271	16	11	5	2	1	1	5	0	524
Cluster_181	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes vadinHA17;unknown genus;Multi-affiliation	7	6	26	5	7	6	2	4	7	2	3	5	3	8	25	15	33	27	69	34	24	40	36	27	20	65	43	549
Cluster_182	Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Aminobacterium;Aminobacterium colombiense	2	4	6	5	3	8	6	5	3	3	1	10	4	11	9	6	17	6	39	27	65	32	24	7	20	39	85	447
Cluster_183	Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;unknown genus;Multi-affiliation	1	13	26	12	22	16	12	14	8	10	2	6	4	2	1	5	5	0	5	3	2	14	10	7	9	30	38	277
Cluster_185	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Fermentimonas;unknown species	5	34	93	33	48	59	33	13	9	8	2	6	1	4	5	1	4	3	12	5	6	10	2	0	5	6	2	409
Cluster_186	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;unknown species	0	3	7	12	19	37	23	31	31	28	13	25	27	33	49	31	64	41	62	18	14	13	10	7	16	30	23	667
Cluster_187	Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae;Caldicoprobacter;Multi-affiliation	3	17	85	63	28	154	34	39	41	29	8	37	46	37	53	33	40	35	88	35	21	12	5	11	13	14	29	1010
Cluster_188	Bacteria;Desulfobacterota;Syntrophorhabdia;Syntrophorhabdales;Syntrophorhabdaceae;Syntrophorhabdus;unknown species	55	96	148	43	26	9	3	1	3	0	3	2	3	6	1	0	2	0	2	20	8	31	26	2	4	1	0	495
Cluster_190	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Multi-affiliation	0	4	8	2	1	9	0	5	4	7	1	4	2	3	2	3	4	1	50	12	47	13	0	0	0	4	1	187
Cluster_191	Bacteria;Caldatribacteriota;JS1;unknown order;unknown family;unknown genus;unknown species	41	34	59	32	27	32	7	7	16	10	7	15	12	25	15	5	15	16	21	8	11	19	24	13	19	17	18	525
Cluster_192	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum;unknown species	1	31	60	57	38	79	22	12	8	3	4	14	20	11	18	7	12	0	3	1	5	11	6	1	6	5	11	446
Cluster_193	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;ADurb.Bin120;Brevefilum fermentans	16	16	11	6	15	10	5	4	5	3	0	1	0	1	1	0	3	6	7	9	11	15	10	9	17	12	5	198
Cluster_194	Bacteria;Firmicutes;Limnochordia;MBA03;unknown family;unknown genus;unknown species	20	15	97	39	32	68	19	18	15	14	13	19	6	7	8	2	5	0	6	22	31	21	4	1	0	2	7	491
Cluster_197	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Tissierella;unknown species	6	28	74	36	36	73	27	14	9	5	1	3	3	1	2	0	2	1	2	4	5	4	4	1	0	0	1	342
Cluster_196	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;W5053;unknown species	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	16	12	24	8	15	26	29	144
Cluster_198	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;unknown genus;unknown species	19	34	44	19	28	101	56	61	5	12	13	47	39	31	30	4	3	4	4	6	6	9	12	4	5	18	14	628
Cluster_199	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Multi-affiliation	4	6	17	12	7	13	2	236	192	63	8	2	0	2	0	0	2	1	0	1	0	2	1	0	1	5	0	577
Cluster_200	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Amylolactobacillus;Multi-affiliation	0	0	0	0	0	1	0	0	0	1	0	4	6	5	12	1	2	4	18	4	3	11	5	4	5	13	33	132
Cluster_201	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;GZKB124;unknown genus;unknown species	11	33	13	4	13	29	31	2	6	1	5	10	9	5	13	4	8	2	11	22	11	10	10	5	4	10	14	296
Cluster_202	Bacteria;Firmicutes;Bacilli;RF39;unknown family;unknown genus;unknown species	6	20	60	29	7	42	16	4	2	3	2	2	2	0	0	0	4	0	0	1	1	12	0	0	2	3	1	219
Cluster_207	Bacteria;Firmicutes;Bacilli;Izemoplasmatales;unknown family;unknown genus;unknown species	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	18	56	48	65	123	362	165	51	891
Cluster_204	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelatoclostridium;Multi-affiliation	0	0	0	0	0	0	0	13	383	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401
Cluster_205	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum;unknown species	2	21	55	38	20	54	22	8	3	1	1	4	1	0	0	0	1	0	2	5	1	8	0	0	3	4	1	255
Cluster_206	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Multi-affiliation	9	31	98	33	14	32	9	7	10	13	2	6	1	4	5	1	5	10	15	9	13	15	9	3	19	19	11	403
Cluster_209	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;Mariniphaga;unknown species	2	9	43	28	13	38	6	16	8	6	0	7	5	8	10	3	3	4	11	1	7	7	5	2	11	29	42	324
Cluster_208	Bacteria;Firmicutes;D8A-2;unknown order;unknown family;unknown genus;anaerobic digester metagenome	4	11	15	6	2	11	7	1	7	1	1	5	0	2	3	2	11	9	13	28	80	51	68	31	56	86	72	583
Cluster_211	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;unknown genus;unknown species	49	74	69	27	41	110	58	56	5	1	0	1	0	0	2	0	0	0	2	0	0	0	2	0	14	9	8	528
Cluster_212	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;unknown genus;unknown species	1	9	13	6	1	8	1	13	12	15	4	14	4	2	5	3	0	2	3	38	55	10	3	2	4	4	3	235
Cluster_213	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Saccharofermentans;unknown species	14	49	130	56	45	86	42	26	12	6	7	10	7	5	12	4	7	2	6	12	12	23	4	0	6	2	2	587
Cluster_214	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;Multi-affiliation	0	6	21	17	32	18	27	12	7	9	4	5	1	9	4	4	7	7	15	5	20	13	29	5	15	16	10	318
Cluster_215	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Fermentimonas;unknown species	5	28	41	53	63	55	16	10	7	4	1	0	0	0	2	1	0	2	1	1	2	3	1	0	1	0	0	297
Cluster_216	Bacteria;Verrucomicrobiota;Verrucomicrobiae;LD1-PB3;unknown family;unknown genus;unknown species	1	6	21	10	18	24	13	4	7	3	0	3	1	0	2	0	2	1	0	4	1	4	4	1	5	5	5	145
Cluster_217	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Saccharofermentans;unknown species	8	11	64	8	12	23	8	5	1	2	1	0	1	0	0	0	0	0	1	0	2	13	0	2	1	4	1	168
Cluster_218	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Sedimentibacteraceae;Sedimentibacter;unknown species	23	23	151	39	22	108	43	30	37	48	39	45	24	57	25	6	11	5	28	30	45	15	20	8	14	29	19	944
Cluster_220	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes vadinHA17;unknown genus;unknown species	11	22	25	22	21	1	1	0	1	2	4	16	25	52	31	32	72	71	156	26	50	28	27	12	11	36	19	774
Cluster_223	Bacteria;Thermotogota;Thermotogae;Petrotogales;Petrotogaceae;SC103;metagenome	52	42	83	22	17	16	5	6	4	3	0	2	5	0	2	0	5	1	6	13	20	26	10	9	12	14	12	387
Cluster_222	Bacteria;Spirochaetota;MVP-15;unknown order;unknown family;unknown genus;unknown species	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	44	1	30	1	6	34	0	1	158
Cluster_221	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;unknown genus;unknown species	24	42	86	32	13	59	13	13	9	15	7	29	15	22	32	20	24	5	36	69	90	78	25	16	37	29	43	883
Cluster_225	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;unknown genus;unknown species	0	16	22	5	1	32	17	10	11	7	2	1	1	3	10	1	1	3	11	37	17	4	12	14	6	26	14	284
Cluster_227	Bacteria;Dependentiae;Babeliae;Babeliales;unknown family;unknown genus;unknown species	0	5	6	21	21	22	8	5	2	0	0	0	1	1	0	0	1	0	0	2	3	5	2	1	13	6	3	128
Cluster_229	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;[Eubacterium] siraeum group;unknown species	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	339	0	1	0	1	0	0	0	0	344
Cluster_230	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;UCG-012;unknown species	4	93	212	3	0	121	301	23	2	0	0	0	2	19	55	2	5	0	0	0	0	6	0	0	2	1	81	932
Cluster_231	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Puniceicoccus;unknown species	4	10	23	11	8	20	10	9	0	1	0	1	2	0	2	4	2	1	3	1	1	3	1	0	1	2	2	122
Cluster_232	Bacteria;Cloacimonadota;Cloacimonadia;Cloacimonadales;Cloacimonadaceae;Candidatus Cloacimonas;unknown species	1	0	0	0	0	1	3	1	2	1	0	15	18	38	25	10	42	14	37	2	18	12	13	1	32	35	30	351
Cluster_234	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;unknown species	0	12	44	21	31	41	16	10	5	5	3	9	5	5	3	0	5	1	3	8	4	6	5	1	6	5	5	259
Cluster_235	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;unknown species	2	4	11	17	20	54	23	23	12	14	12	24	16	27	30	14	37	19	45	30	47	27	21	21	36	53	40	679
Cluster_236	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Multi-affiliation;Multi-affiliation	4	17	27	28	35	60	17	11	4	4	1	3	1	1	1	0	0	0	0	2	1	7	0	0	2	2	1	229
Cluster_238	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;M2PB4-65 termite group;unknown genus;unknown species	2	7	44	7	6	13	7	2	7	3	3	12	13	5	4	1	2	0	0	5	5	5	13	16	4	19	9	214
Cluster_237	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;HN-HF0106;unknown species	16	24	21	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	21	24	13	6	4	78	74	292
Cluster_239	Bacteria;Acidobacteriota;Subgroup 18;unknown order;unknown family;unknown genus;unknown species	0	2	21	23	35	41	25	26	20	11	7	9	12	18	11	9	26	24	58	10	9	7	3	3	2	3	3	418
Cluster_241	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;metagenome	1	1	1	0	1	13	0	3	2	7	3	12	6	6	47	4	7	9	21	9	19	48	12	10	11	28	9	290
Cluster_242	Bacteria;Armatimonadota;Chthonomonadetes;Chthonomonadales;unknown family;unknown genus;unknown species	11	34	53	30	44	59	11	24	10	11	7	8	7	5	8	2	5	6	4	1	4	2	5	3	2	3	1	360
Cluster_243	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;unknown genus;unknown species	9	38	67	24	19	40	13	3	5	1	1	1	1	1	1	1	0	0	3	3	1	10	0	1	0	2	1	246
Cluster_244	Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Acetomicrobium;unknown species	11	42	107	34	23	36	11	11	9	4	3	20	9	6	7	9	13	7	7	20	31	14	7	2	5	4	5	457
Cluster_245	Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;unknown species	2	12	26	26	28	72	23	7	3	4	2	5	7	12	5	1	3	0	6	3	7	5	3	0	4	2	2	270
Cluster_246	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix;unknown species	2	12	23	13	6	19	5	5	2	3	2	5	0	1	2	0	2	1	2	11	13	6	4	1	8	3	8	159
Cluster_247	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;unknown genus;unknown species	4	25	25	14	8	15	9	6	1	1	0	0	1	2	2	0	1	0	1	1	2	8	3	0	0	0	0	129
Cluster_250	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;Multi-affiliation	3	12	24	18	20	26	17	11	10	2	1	3	2	6	2	1	3	4	5	10	23	14	19	10	19	17	23	305
Cluster_251	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;unknown species	2	23	47	30	34	54	18	19	11	5	2	7	2	7	3	1	4	4	7	5	6	6	5	2	6	6	4	320
Cluster_252	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Tissierella;unknown species	2	11	35	22	11	40	9	2	3	5	0	1	0	0	0	0	0	1	1	1	1	11	0	0	0	0	2	158
Cluster_254	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;Multi-affiliation	1	28	45	34	22	42	11	10	7	4	1	5	1	5	1	2	2	1	8	1	1	2	1	0	2	2	0	239
Cluster_256	Bacteria;Hydrogenedentes;Hydrogenedentia;Hydrogenedentiales;Hydrogenedensaceae;YC-ZSS-LKJ63;unknown species	4	26	66	51	59	143	56	62	40	27	29	39	35	44	30	16	38	22	54	13	17	14	7	7	2	2	6	909
Cluster_258	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ventriosum group;unknown species	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	858	0	0	0	1	1	0	0	0	861
Cluster_259	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;W5053;unknown species	6	12	26	6	9	7	3	1	0	0	0	0	1	1	0	1	0	0	0	26	44	24	46	20	22	15	12	282
Cluster_261	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;unknown genus;unknown species	1	12	19	8	2	13	2	0	1	0	0	0	0	1	0	0	4	1	5	43	82	102	33	8	6	32	30	405
Cluster_260	Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae;Caldicoprobacter;Multi-affiliation	1	11	65	47	44	114	25	17	24	16	9	36	19	26	40	24	25	22	80	16	25	24	6	4	8	12	22	762
Cluster_262	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;unknown species	4	15	17	27	22	50	7	12	5	2	2	8	2	4	1	3	5	5	8	13	21	15	15	7	13	12	13	308
Cluster_263	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;HN-HF0106;metagenome	2	20	23	14	25	22	15	9	5	6	2	0	0	2	1	1	0	0	5	1	0	10	1	0	0	3	2	169
